state,column,ballotPosition,surname,ballotGivenName,groupName,partyBallotName
WA,G,1,FILING,Paul Anthony,Pauline Hanson's One Nation,Pauline Hanson's One Nation
WA,G,2,MUNDY,Sheila,Pauline Hanson's One Nation,Pauline Hanson's One Nation
WA,H,1,HARLEY,Petrina,Socialist Alliance,Socialist Alliance
WA,H,2,SALMON,Alex,Socialist Alliance,Socialist Alliance
WA,I,1,JOHNSON,Nicola Julia,Legalise Cannabis Australia,Legalise Cannabis Australia
WA,I,2,PEET,Aaron,Legalise Cannabis Australia,Legalise Cannabis Australia
WA,J,1,CULLETON,Rodney Norman,The Great Australian Party,The Great Australian Party
WA,J,2,VINCI,Samantha Lee,The Great Australian Party,The Great Australian Party
WA,K,1,GEORGATOS,Gerry,,
WA,K,2,KRAKOUER,Megan,,
WA,L,1,FANTINEL,Kate,Liberal Democrats,Liberal Democrats
WA,L,2,McLOUGHLIN,Peter,Liberal Democrats,Liberal Democrats
WA,M,1,KINSELLA,Michelle,Informed Medical Options Party,Informed Medical Options Party
WA,M,2,LOCKYER,Leanne,Informed Medical Options Party,Informed Medical Options Party
WA,N,1,PIZZEY,Rebecca,Australian Values Party,Australian Values Party
WA,N,2,FITZPATRICK,Kathy,Australian Values Party,Australian Values Party
WA,O,1,DORN,Amanda,Animal Justice Party,Animal Justice Party
WA,O,2,McCASKER,Elizabeth Gay,Animal Justice Party,Animal Justice Party
WA,P,1,TINLEY,Cam,,
WA,P,2,AYRE,Tricia,,
WA,Q,1,WILYMAN,Judy,Australian Federation Party,Australian Federation Party
WA,Q,2,BARRETT,Leanne,Australian Federation Party,Australian Federation Party
WA,R,1,CASH,Michaelia,Liberal,Liberal
WA,R,2,SMITH,Dean,Liberal,Liberal
WA,R,3,SMALL,Ben,Liberal,Liberal
WA,R,4,SUFI,Sherry,Liberal,Liberal
WA,S,1,VILJOEN,Tim,"FUSION: Science, Pirate, Secular, Climate Emergency","FUSION: Science, Pirate, Secular, Climate Emergency"
WA,S,2,WOODINGS,Adam,"FUSION: Science, Pirate, Secular, Climate Emergency","FUSION: Science, Pirate, Secular, Climate Emergency"
WA,T,1,McDOWALL,Matthew,WESTERN AUSTRALIA PARTY,WESTERN AUSTRALIA PARTY
WA,T,2,MATHESON,Julie,WESTERN AUSTRALIA PARTY,WESTERN AUSTRALIA PARTY
WA,U,1,BRAILEY,Denise,Citizens Party,Citizens Party
WA,U,2,ROBINSON,Jean,Citizens Party,Citizens Party
WA,V,1,COUNT,Matthew,Federal ICAC Now,Federal ICAC Now
WA,V,2,WATKINS,Dianne,Federal ICAC Now,Federal ICAC Now
WA,UG,1,MURPHY,Ziggi,,Independent
WA,UG,2,BUCKLE,Ashley,,Independent
WA,UG,3,McDONALD,Peter Robert,,Independent
WA,UG,4,VAGH,Yunous,,Independent
WA,UG,5,BURDETT,Bob,,Seniors United Party of Australia
WA,UG,6,PEGRUM,Valentine,,Independent
