state,division,ballotPosition,surname,ballotGivenName,partyBallotName
VIC,Ballarat,6,TAXIS,Rosalie,Pauline Hanson's One Nation
VIC,Ballarat,7,McGRATH,Julia,Liberal Democrats
VIC,Ballarat,8,KING,Catherine,Australian Labor Party
VIC,Bendigo,1,LAURIE,James,Independent
VIC,Bendigo,2,CHESTERS,Lisa,Australian Labor Party
VIC,Bendigo,3,SCHADE,Darin,Liberal
VIC,Bendigo,4,SINCLAIR,Cate,The Greens
VIC,Bendigo,5,BANSEMER,Matt,Liberal Democrats
VIC,Bendigo,6,MIHAIL,Ben,Pauline Hanson's One Nation
VIC,Bendigo,7,SUARES,Elijah,United Australia Party
VIC,Bruce,1,SKROBO,Christine,Liberal Democrats
VIC,Bruce,2,BABET,Matt,United Australia Party
VIC,Bruce,3,DEANS,Hayley,Pauline Hanson's One Nation
VIC,Bruce,4,HILL,Julian,Australian Labor Party
VIC,Bruce,5,MOODY,James,Liberal
VIC,Bruce,6,KIRWAN,Matthew,The Greens
VIC,Calwell,1,PRESTON,Mark,Pauline Hanson's One Nation
VIC,Calwell,2,STAKER-GUNN,Tim,Liberal
VIC,Calwell,3,ABBOUD,Natalie,The Greens
VIC,Calwell,4,VAMVAKINOU,Maria,Australian Labor Party
VIC,Calwell,5,NAIM,Joshua,United Australia Party
VIC,Calwell,6,SMALL,Jerome,Victorian Socialists
VIC,Calwell,7,BENGTSSON,Maria,Australian Federation Party
VIC,Casey,1,GAME,Jenny,The Greens
VIC,Casey,2,COLE,Craig,Independent
VIC,Casey,3,KLOP,Andrew,Animal Justice Party
VIC,Casey,4,VIOLI,Aaron,Liberal
VIC,Casey,5,BRINDLE,Bill,Australian Labor Party
VIC,Casey,6,MURPHY,Paul,Pauline Hanson's One Nation
VIC,Casey,7,FIELD,Chris,Australian Federation Party
VIC,Casey,8,SMITH,Trevor Walter,Liberal Democrats
VIC,Casey,9,SULLIVAN,Peter,Derryn Hinch's Justice Party
VIC,Casey,10,BELLVE,Anthony Sebastian,United Australia Party
VIC,Casey,11,FERRES MILES,Claire,Independent
VIC,Chisholm,1,LIU,Gladys,Liberal
VIC,Chisholm,2,STANFIELD,Thomas,Derryn Hinch's Justice Party
VIC,Chisholm,3,ANTONIE,Anthea,Australian Federation Party
VIC,Chisholm,4,TYRRELL,Aaron,Pauline Hanson's One Nation
VIC,Chisholm,5,WHITFIELD,Rod,Animal Justice Party
VIC,Chisholm,6,DARE,Ryan,Citizens Party
VIC,Chisholm,7,KING,Ethelyn,Liberal Democrats
VIC,Chisholm,8,NEWMAN,Sarah,The Greens
VIC,Chisholm,9,KEMPSON,Melanie Merle,United Australia Party
VIC,Chisholm,10,MURPHY,Dominique,Independent
VIC,Chisholm,11,TSENG,Wayne,Independent
VIC,Chisholm,12,GARLAND,Carina,Australian Labor Party
VIC,Cooper,1,BANGAAR,Rabin,Animal Justice Party
VIC,Cooper,2,LARKIN,Kath,Victorian Socialists
VIC,Cooper,3,LIDDLE,Celeste,The Greens
VIC,Cooper,4,WHITEHEAD,Adrian,"FUSION: Science, Pirate, Secular, Climate Emergency"
VIC,Cooper,5,ATKINSON,Jadon,Liberal
VIC,Cooper,6,LA ROSA,Adam,United Australia Party
VIC,Cooper,7,TURNER,William Tristan,Pauline Hanson's One Nation
VIC,Cooper,8,KEARNEY,Ged,Australian Labor Party
VIC,Corangamite,1,JUHASZ,Stephen,Australian Federation Party
VIC,Corangamite,2,MARSHALL,Alex,The Greens
VIC,Corangamite,3,COKER,Libby,Australian Labor Party
VIC,Corangamite,4,WATKINS,Meg,Animal Justice Party
VIC,Corangamite,5,ASHER,Stephanie,Liberal
VIC,Corangamite,6,BARKER,Paul,Liberal Democrats
VIC,Corangamite,7,SORENSEN,Luke,Pauline Hanson's One Nation
VIC,Corangamite,8,ABOU-ZEID,Daniel William,United Australia Party
VIC,Corangamite,9,D'ARGENT,Jean-Marie,Derryn Hinch's Justice Party
VIC,Corio,1,BULL,Sue,Socialist Alliance
VIC,Corio,2,TAYLOR,Jessica,Australian Federation Party
VIC,Corio,3,PATEL,Manish,Liberal
VIC,Corio,4,NORTHEAST,Simon,The Greens
VIC,Corio,5,JONES,Robert,Pauline Hanson's One Nation
VIC,Corio,6,ADAMS,Naomi,Animal Justice Party
VIC,Corio,7,PAYNE,Max,Liberal Democrats
VIC,Corio,8,MURDOCK,Shane,United Australia Party
VIC,Corio,9,MARLES,Richard,Australian Labor Party
VIC,Deakin,1,GREGG,Matt,Australian Labor Party
VIC,Deakin,2,HUMPHREYS,Rob,The Greens
VIC,Deakin,3,LIU,Qian,Independent
VIC,Deakin,4,DOLHEGUY,Katherine,Animal Justice Party
VIC,Deakin,5,CARR,Harrison,Liberal Democrats
VIC,Deakin,6,SUKKAR,Michael,Liberal
VIC,Deakin,7,THOMPSON,Judith,Derryn Hinch's Justice Party
VIC,Deakin,8,GIDLEY,Bianca Joy,United Australia Party
VIC,Deakin,9,BASTIN,Samantha,Australian Federation Party
VIC,Deakin,10,COUGHLAN,Natasha,Pauline Hanson's One Nation
VIC,Dunkley,1,BERGWERF,Darren,Independent
VIC,Dunkley,2,MURPHY,Peta,Australian Labor Party
VIC,Dunkley,3,WILLIS,Damian,Liberal Democrats
VIC,Dunkley,4,JOHNSTON,Elizabeth,Animal Justice Party
VIC,Dunkley,5,O'BRIEN,Liam,The Greens
VIC,Dunkley,6,COOMBES,Sharn,Liberal
VIC,Dunkley,7,MIDDLEBROOK,Scott,Pauline Hanson's One Nation
VIC,Dunkley,8,WOODS,Kathryn,Australian Federation Party
VIC,Dunkley,9,IRVINE,Adrian Kain,United Australia Party
VIC,Flinders,1,VAN DER END,Alex,United Australia Party
VIC,Flinders,2,MARR,Cyndi,Pauline Hanson's One Nation
VIC,Flinders,3,ABRAHAM,Chrysten,Liberal Democrats
VIC,Flinders,4,McKENZIE,Zoe,Liberal
VIC,Flinders,5,EARL,Jefferson,Australian Federation Party
VIC,Flinders,6,LANE,Colin,The Greens
VIC,Flinders,7,RUSSELL,Sarah,Independent
VIC,Flinders,8,SNOWBALL,Surbhi,Australian Labor Party
VIC,Flinders,9,O'CONNOR,Despi,Independent
VIC,Flinders,10,ENGELANDER,Pamela,Animal Justice Party
VIC,Fraser,1,WOOD,David,Liberal
VIC,Fraser,2,MULINO,Daniel,Australian Labor Party
VIC,Fraser,3,CURSIO,Anthony,Liberal Democrats
VIC,Fraser,4,MITCHELL-SEARS,Bella,The Greens
VIC,Fraser,5,RAYMOND,Keith James Aaron,United Australia Party
VIC,Fraser,6,de PYLE,Sabine,Pauline Hanson's One Nation
VIC,Fraser,7,ROBERTSON,Catherine,Victorian Socialists
VIC,Gellibrand,1,RODOREDA,Suzette,The Greens
VIC,Gellibrand,2,CLARK,Monica,Liberal
VIC,Gellibrand,3,MOORS,Sharynn,Australian Federation Party
VIC,Gellibrand,4,CHARLES,Andrew,Victorian Socialists
VIC,Gellibrand,5,ISAC,Abraham,United Australia Party
VIC,Gellibrand,6,GLASSON,Chloe,Liberal Democrats
VIC,Gellibrand,7,BRADDOCK,Rob,Pauline Hanson's One Nation
VIC,Gellibrand,8,WATTS,Tim,Australian Labor Party
VIC,Gippsland,1,HANSFORD,Greg,Pauline Hanson's One Nation
VIC,Gippsland,2,CHESTER,Darren,The Nationals
VIC,Gippsland,3,FORSTER,Gregory Emil,United Australia Party
VIC,Gippsland,4,THORPE,Marjorie,The Greens
VIC,Gippsland,5,McDONALD,Jim,Liberal Democrats
VIC,Gippsland,6,LANGLEY,Jannette,Australian Labor Party
VIC,Goldstein,1,GALLI-McROSTIE,Alana,The Greens
VIC,Goldstein,2,SULLIVAN,Ellie Jean,Derryn Hinch's Justice Party
VIC,Goldstein,3,HOULT,Brandon,Sustainable Australia Party - Stop Overdevelopment / Corruption
VIC,Goldstein,4,SEGAL,David,Liberal Democrats
VIC,Goldstein,5,DANIEL,Zoe,Independent
VIC,Goldstein,6,STARK,Lisa,Pauline Hanson's One Nation
VIC,Goldstein,7,REYNOLDS,Catherine Frances,United Australia Party
VIC,Goldstein,8,WILSON,Tim,Liberal
VIC,Goldstein,9,ABBOTT,Martyn,Australian Labor Party
VIC,Gorton,1,CONNOR,Daniel,Pauline Hanson's One Nation
VIC,Gorton,2,MORRIS,Praise,The Greens
VIC,Gorton,3,VIRAG,Michael,United Australia Party
VIC,Gorton,4,GIBSON,Belle,Victorian Socialists
VIC,Gorton,5,O'CONNOR,Brendan,Australian Labor Party
VIC,Gorton,6,LONCAR,Steven J,Independent
VIC,Gorton,7,DOBRAN,Tony,The Great Australian Party
VIC,Gorton,8,LASSIG,Paul,Australian Federation Party
VIC,Gorton,9,FLETCHER,John,Liberal
VIC,Hawke,1,WILLIAMS,Michael,Australian Federation Party
VIC,Hawke,2,LACEY,Michael Edward,The Great Australian Party
VIC,Hawke,3,RAE,Sam,Australian Labor Party
VIC,Hawke,4,BINGHAM,Jarrod James,Independent
VIC,Hawke,5,MARTUCCI,Max,TNL
VIC,Hawke,6,HAQUE,Enamul,Liberal
VIC,Hawke,7,WHEELOCK,Lynda,The Greens
VIC,Hawke,8,SUDUK,Nick,Pauline Hanson's One Nation
VIC,Hawke,9,VESSEY,Glenn,Citizens Party
VIC,Hawke,10,HYNES,Jack,Victorian Socialists
VIC,Hawke,11,CUTHBERTSON,Andrew Glenn,United Australia Party
VIC,Higgins,1,FORD,Matthew,Liberal Democrats
VIC,Higgins,2,SPENCER,Ingram Magnus,United Australia Party
VIC,Higgins,3,WALKER,Alicia,Animal Justice Party
VIC,Higgins,4,ALLEN,Katie,Liberal
VIC,Higgins,5,JOHNSON,Andrew,Reason Australia
VIC,Higgins,6,ANANDA-RAJAH,Michelle,Australian Labor Party
VIC,Higgins,7,MENOUDAKIS,Suzie,Australian Federation Party
VIC,Higgins,8,SEMMENS,Sonya,The Greens
VIC,Holt,1,RAGUPATHY,Ravi,Independent
VIC,Holt,2,FERNANDO,Cassandra,Australian Labor Party
VIC,Holt,3,HANSEN,Gerardine,United Australia Party
VIC,Holt,4,AMBARD,Sandy,Pauline Hanson's One Nation
VIC,Holt,5,SALDANHA,Gregory,Australian Federation Party
VIC,Holt,6,NUNEZ-SILVA,Matthew,Liberal Democrats
VIC,Holt,7,MATHEW,Sujit,The Greens
VIC,Holt,8,PERERA,Ranj,Liberal
VIC,Hotham,1,SOK,Edward,Liberal Democrats
VIC,Hotham,2,O'NEIL,Clare,Australian Labor Party
VIC,Hotham,3,WILLOUGHBY,Louisa,The Greens
VIC,Hotham,4,RIDGWAY,Bruce Scott,United Australia Party
VIC,Hotham,5,TULL,Roger,Pauline Hanson's One Nation
VIC,Hotham,6,BEVINAKOPPA,Savitri,Liberal
VIC,Indi,1,ALEKSOV,Angel,Animal Justice Party
VIC,Indi,2,HAINES,Helen,Independent
VIC,Indi,3,O'CONNELL,Lachlan,Derryn Hinch's Justice Party
VIC,Indi,4,WILLIAMS,Stephen,United Australia Party
VIC,Indi,5,STEVENS,Beth,Pauline Hanson's One Nation
VIC,Indi,6,GILBERT,Benjamin,The Greens
VIC,Indi,7,FISHER,Liz,The Nationals
VIC,Indi,8,DAVID,Nadia,Australian Labor Party
VIC,Indi,9,FIDGE,Julian,Liberal Democrats
VIC,Indi,10,LYMAN,Ross,Liberal
VIC,Isaacs,1,SOKIRANSKY,Boris,Pauline Hanson's One Nation
VIC,Isaacs,2,DREYFUS,Mark,Australian Labor Party
VIC,Isaacs,3,O'DONNELL,Sarah,Liberal Democrats
VIC,Isaacs,4,BEATON,Robbie,Liberal
VIC,Isaacs,5,BRESKIN,Alex,The Greens
VIC,Isaacs,6,LIVINGSTONE,Alix,Animal Justice Party
VIC,Isaacs,7,McCAMISH,Scott Anson,United Australia Party
VIC,Jagajaga,1,THWAITES,Kate,Australian Labor Party
VIC,Jagajaga,2,PALMARINI,Brendan,Australian Federation Party
VIC,Jagajaga,3,ZELINKA,Allison,United Australia Party
VIC,Jagajaga,4,MUSTAF,Zahra,Independent
VIC,Jagajaga,5,TESA,Maya,Liberal Democrats
VIC,Jagajaga,6,CHASE,Liz,The Greens
VIC,Jagajaga,7,BOOKER,John,Pauline Hanson's One Nation
VIC,Jagajaga,8,TOMAR,Sahil,Liberal
VIC,Kooyong,1,RYAN,Monique,Independent
VIC,Kooyong,2,HARDIMAN,Scott Andrew,United Australia Party
VIC,Kooyong,3,THOM,Alexandra,Liberal Democrats
VIC,Kooyong,4,DALE,Michele,Derryn Hinch's Justice Party
VIC,Kooyong,5,COYNE,Josh,Pauline Hanson's One Nation
VIC,Kooyong,6,ANDERSON,Will,Independent
VIC,Kooyong,7,FRYDENBERG,Josh,Liberal
VIC,Kooyong,8,LYNCH,Peter,Australian Labor Party
VIC,Kooyong,9,NEHMER,Rachael,Animal Justice Party
VIC,Kooyong,10,MITCHEM,Piers,The Greens
VIC,Kooyong,11,CONNOLLY,David,Australian Values Party
VIC,La Trobe,1,WOOD,Jason,Liberal
VIC,La Trobe,2,ERVIN,Hadden,Pauline Hanson's One Nation
VIC,La Trobe,3,SCHILLING,Michael,The Greens
VIC,La Trobe,4,MOTT,Merryn,United Australia Party
VIC,La Trobe,5,ABHIMANYU KUMAR,,Australian Labor Party
VIC,La Trobe,6,SKINNER,Rebecca,Australian Federation Party
VIC,La Trobe,7,ABELMAN,Michael,Liberal Democrats
VIC,La Trobe,8,JEGES,Helen,Animal Justice Party
VIC,Lalor,1,MOINUDDIN,Aijaz,Independent
VIC,Lalor,2,URIBE,Claudio,Victorian Socialists
VIC,Lalor,3,PATERSON,Juanita Coral,United Australia Party
VIC,Lalor,4,RYAN,Joanne,Australian Labor Party
VIC,Lalor,5,BARCATTA,Patrizia,Liberal Democrats
VIC,Lalor,6,MALLIAROS,Peter,Australian Federation Party
VIC,Lalor,7,INGARFILL,James,Pauline Hanson's One Nation
VIC,Lalor,8,BODDEKE,Jack,The Greens
VIC,Lalor,9,GADDIPATI,Ravi,Liberal
VIC,Macnamara,1,MYERS,John B,Independent
VIC,Macnamara,2,HARKIN,Colleen,Liberal
VIC,Macnamara,3,BURNS,Josh,Australian Labor Party
VIC,Macnamara,4,ANNE,Debera,Pauline Hanson's One Nation
VIC,Macnamara,5,McCATHIE,Rob,Liberal Democrats
VIC,Macnamara,6,SCHULTZ,Ben,Animal Justice Party
VIC,Macnamara,7,HODGINS-MAY,Steph,The Greens
VIC,Macnamara,8,HICKEY,Jane Elizabeth,United Australia Party
VIC,Mallee,1,WEBSTER,Anne,The Nationals
VIC,Mallee,2,BALDWIN,Sophie,Independent
VIC,Mallee,3,HAENEL,Claudia,Independent
VIC,Mallee,4,LAHY,Chris,Citizens Party
VIC,Mallee,5,HART,Carole,Australian Labor Party
VIC,Mallee,6,McCOLL,Sam,The Greens
VIC,Mallee,7,KING,Stuart William,United Australia Party
VIC,Mallee,8,ATKINSON,Vanessa,Pauline Hanson's One Nation
VIC,Maribyrnong,1,HOBART,Mark Michael,The Great Australian Party
VIC,Maribyrnong,2,DADICH,Daniel Nair,Victorian Socialists
VIC,Maribyrnong,3,SHORTEN,Bill,Australian Labor Party
VIC,Maribyrnong,4,TINDAL,Jodie,Pauline Hanson's One Nation
VIC,Maribyrnong,5,BESANKO,Darren,United Australia Party
VIC,Maribyrnong,6,D'SILVA,Mira,Liberal
VIC,Maribyrnong,7,PRYOR,Rhonda,The Greens
VIC,Maribyrnong,8,ANSALONE,Alexander Anthony,Australian Federation Party
VIC,Maribyrnong,9,SMITH,Cameron,Liberal Democrats
VIC,McEwen,1,BARKER,Neil,The Greens
VIC,McEwen,2,McRAE,Paul Joseph,United Australia Party
VIC,McEwen,3,NEIL,Christopher,Australian Federation Party
VIC,McEwen,4,BRADBURY,Chris,Pauline Hanson's One Nation
VIC,McEwen,5,HERRON,John,Liberal Democrats
VIC,McEwen,6,WELCH,Richard,Liberal
VIC,McEwen,7,MITCHELL,Rob,Australian Labor Party
VIC,Melbourne,1,BORG,Justin,United Australia Party
VIC,Melbourne,2,PATERSON,Keir,Australian Labor Party
VIC,Melbourne,3,BANDT,Adam,The Greens
VIC,Melbourne,4,DAMCHES,James,Liberal
VIC,Melbourne,5,PEPPARD,Richard,Liberal Democrats
VIC,Melbourne,6,ROBSON,Scott,Independent
VIC,Melbourne,7,STRAGAN,Walter,Pauline Hanson's One Nation
VIC,Melbourne,8,POON,Bruce,Animal Justice Party
VIC,Melbourne,9,BOLGER,Colleen,Victorian Socialists
VIC,Menzies,1,OAKLEY,Naomi,Australian Labor Party
VIC,Menzies,2,SABHLOK,Sanjeev,Australian Federation Party
VIC,Menzies,3,CHEESMAN,Greg,Liberal Democrats
VIC,Menzies,4,HAYES,John,Pauline Hanson's One Nation
VIC,Menzies,5,WOLAHAN,Keith,Liberal
VIC,Menzies,6,PHEASANT,Bill,The Greens
VIC,Menzies,7,SCAGLIONE,Nathan,United Australia Party
VIC,Monash,1,MORGAN,Mat,The Greens
VIC,Monash,2,BROADBENT,Russell,Liberal
VIC,Monash,3,LEONARD,Deb,Independent
VIC,Monash,4,HICKEN,Allan,Pauline Hanson's One Nation
VIC,Monash,5,WELSH,David Matthew,Australian Federation Party
VIC,Monash,6,O'DONNELL,Jessica,Australian Labor Party
VIC,Monash,7,EDWARDS,Meg,Liberal Democrats
VIC,Monash,8,McSHANE,Christine Ann,United Australia Party
VIC,Nicholls,1,LAIRD,Tim,Liberal Democrats
VIC,Nicholls,2,BIRRELL,Sam,The Nationals
VIC,Nicholls,3,TYRRELL,Rikkie-Lee,Pauline Hanson's One Nation
VIC,Nicholls,4,LODWICK,Bill,Australian Labor Party
VIC,Nicholls,5,DAVY,Jeff,Citizens Party
VIC,Nicholls,6,PETERSON,Robert,United Australia Party
VIC,Nicholls,7,CHRISTOE,Ian,The Greens
VIC,Nicholls,8,OTTO,Andrea,"FUSION: Science, Pirate, Secular, Climate Emergency"
VIC,Nicholls,9,BROOKS,Steve,Liberal
VIC,Nicholls,10,TABONE,Eleonor,Australian Federation Party
VIC,Nicholls,11,PRIESTLY,Rob,Independent
VIC,Scullin,1,PATERSON,Patchouli,The Greens
VIC,Scullin,2,van BREE,Ursula,Pauline Hanson's One Nation
VIC,Scullin,3,KOELMEYER,Eric,Liberal Democrats
VIC,Scullin,4,GILES,Andrew,Australian Labor Party
VIC,Scullin,5,ALBARRI,Yassin,United Australia Party
VIC,Scullin,6,PERERA,Virosh,Liberal
VIC,Scullin,7,ROWE,Cameron,Victorian Socialists
VIC,Wannon,1,GARNER,Graham,Independent
VIC,Wannon,2,TEHAN,Dan,Liberal
VIC,Wannon,3,GRAHAM,Ronnie,Pauline Hanson's One Nation
VIC,Wannon,4,McALLISTER,Hilary,The Greens
VIC,Wannon,5,DYSON,Alex,Independent
VIC,Wannon,6,KENSEN,Craige,United Australia Party
VIC,Wannon,7,MEAD,Amanda,Liberal Democrats
VIC,Wannon,8,WILSON,Gilbert,Australian Labor Party
VIC,Wills,1,WRIGHT,Tom,Liberal
VIC,Wills,2,TINDAL,Jill,Pauline Hanson's One Nation
VIC,Wills,3,BLACK,Emma,Victorian Socialists
VIC,Wills,4,SERGI,Sam,Australian Federation Party
VIC,Wills,5,BOLTON,Sue,Socialist Alliance
VIC,Wills,6,ZIVKOVIC,Irene,United Australia Party
VIC,Wills,7,KHALIL,Peter,Australian Labor Party
VIC,Wills,8,HORSFALL,Leah,Animal Justice Party
VIC,Wills,9,JEFFORD,Sarah,The Greens
WA,Brand,1,KING,Madeleine,Australian Labor Party
WA,Brand,2,HEFFERNAN,Malcolm,Australian Federation Party
WA,Brand,3,HUDSON,Peter,Liberal
WA,Brand,4,PIKE,David,United Australia Party
WA,Brand,5,LONSDALE,Heather,The Greens (WA)
WA,Brand,6,CRICHTON,Jayne,Australian Christians
WA,Brand,7,O'LOGHLEN,Michael,WESTERN AUSTRALIA PARTY
WA,Brand,8,MARSHALL,Alison,Liberal Democrats
WA,Brand,9,GLEESON,Andrew,The Great Australian Party
WA,Brand,10,TAYLOR,Jake,Pauline Hanson's One Nation
WA,Burt,1,CASTLE,Michele,Australian Federation Party
WA,Burt,2,CARTER,Travis,Pauline Hanson's One Nation
WA,Burt,3,McCURRY,Joshua,United Australia Party
WA,Burt,4,GARLETT,Daniel,The Greens (WA)
WA,Burt,5,PHELAN,Stephen,WESTERN AUSTRALIA PARTY
WA,Burt,6,GOODE,David,Liberal
WA,Burt,7,SPYKER,Warnar,Australian Christians
WA,Burt,8,KEOGH,Matt,Australian Labor Party
WA,Canning,1,HASTIE,Andrew,Liberal
WA,Canning,2,HUNT,Amanda,Australian Labor Party
WA,Canning,3,SIWES,Tammi,Pauline Hanson's One Nation
WA,Canning,4,GARDYNE,Anthony,Australian Federation Party
WA,Canning,5,WALDECK,James Gordon,United Australia Party
WA,Canning,6,BEDFORD,Brad,WESTERN AUSTRALIA PARTY
WA,Canning,7,CONGRENE,Judith,Informed Medical Options Party
WA,Canning,8,MOFFAT,Jodie,The Greens (WA)
WA,Canning,9,WILLIAMS,Ashley Elphin,Independent
WA,Canning,10,du PLESSIS,Andriette,Australian Christians
WA,Canning,11,GARDINER,David,Liberal Democrats
WA,Cowan,1,ALY,Anne,Australian Labor Party
WA,Cowan,2,TRIPP,Isabella,The Greens (WA)
WA,Cowan,3,IRADUKUNDA,Sylvia,Australian Christians
WA,Cowan,4,CALAUTTI,Michael,Australian Federation Party
WA,Cowan,5,WALSH,Tyler,Pauline Hanson's One Nation
WA,Cowan,6,van KRIEKEN,Micah,Liberal Democrats
WA,Cowan,7,LAVERACK,Roland,WESTERN AUSTRALIA PARTY
WA,Cowan,8,HAND,Claire Elizabeth,United Australia Party
WA,Cowan,9,CONNELLY,Vince,Liberal
WA,Cowan,10,ANAGNO,Michael,Animal Justice Party
WA,Curtin,1,VERHOEFF,Ladeisha Louise,United Australia Party
WA,Curtin,2,BURN,Bill,WESTERN AUSTRALIA PARTY
WA,Curtin,3,CULLITY,Judith,Australian Federation Party
WA,Curtin,4,HAMMOND,Celia,Liberal
WA,Curtin,5,GRILLO,Dale Marie,Pauline Hanson's One Nation
WA,Curtin,6,CHANEY,Kate,Independent
WA,Curtin,7,SPENCER,Yannick,Australian Labor Party
WA,Curtin,8,PIDGEON,Cameron,The Greens (WA)
WA,Durack,1,SHORE,Craig,Australian Federation Party
WA,Durack,2,PRICE,Melissa,Liberal
WA,Durack,3,McRAE,Adrian,The Great Australian Party
WA,Durack,4,FELS,Anthony James,WESTERN AUSTRALIA PARTY
WA,Durack,5,RILEY,Jeremiah,Australian Labor Party
WA,Durack,6,JOHANNSEN,Brenton,Pauline Hanson's One Nation
WA,Durack,7,BLAYNEY,Ian,The Nationals
WA,Durack,8,McNEAIR,Bianca,The Greens (WA)
WA,Durack,9,MIDDLETON,Andrew Charles,United Australia Party
WA,Forrest,1,ALLAN,Helen,United Australia Party
WA,Forrest,2,MARKHAM,Paul,Liberal Democrats
WA,Forrest,3,DUNN,Mailee,Australian Federation Party
WA,Forrest,4,TERRANTROY,Christine,The Greens (WA)
WA,Forrest,5,STEPHENS,Greg,WESTERN AUSTRALIA PARTY
WA,Forrest,6,AITKEN,Tracy Nyree,The Great Australian Party
WA,Forrest,7,ENGLISH,Bronwen,Australian Labor Party
WA,Forrest,8,MEZGER,Shane,Pauline Hanson's One Nation
WA,Forrest,9,MARINO,Nola,Liberal
WA,Fremantle,1,TILBURY,Ben,The Great Australian Party
WA,Fremantle,2,WAINWRIGHT,Sam,Socialist Alliance
WA,Fremantle,3,GAVRANICH,Cathy,Australian Federation Party
WA,Fremantle,4,WILSON,Josh,Australian Labor Party
WA,Fremantle,5,JINMAN,Stella,United Australia Party
WA,Fremantle,6,KOUL,Bill,Liberal
WA,Fremantle,7,TOWNSEND,Felicity,The Greens (WA)
WA,Fremantle,8,LOH,Yan,Liberal Democrats
WA,Fremantle,9,KNAPP,Janetia,WESTERN AUSTRALIA PARTY
WA,Fremantle,10,EDGAR,William,Pauline Hanson's One Nation
WA,Hasluck,1,WILLIAMS,Jeanene,Independent
WA,Hasluck,2,STURCKE,Brendan,The Greens (WA)
WA,Hasluck,3,SCOTT,Will,United Australia Party
WA,Hasluck,4,CLARK,Pauline,WESTERN AUSTRALIA PARTY
WA,Hasluck,5,MONCK,Ian,Pauline Hanson's One Nation
WA,Hasluck,6,WYATT,Ken,Liberal
WA,Hasluck,7,SMITH,Marijanna,Australian Federation Party
WA,Hasluck,8,LAWRENCE,Tania,Australian Labor Party
WA,Hasluck,9,McCREANOR,Steven,Liberal Democrats
WA,Moore,1,ANDERSSON,Sue,The Great Australian Party
WA,Moore,2,GUNNESS,Peter,WESTERN AUSTRALIA PARTY
WA,Moore,3,FRENCH,Tom,Australian Labor Party
WA,Moore,4,COOPER,Mark,The Greens (WA)
WA,Moore,5,GOODENOUGH,Ian,Liberal
WA,Moore,6,BRIGHTMAN,Brian,Pauline Hanson's One Nation
WA,Moore,7,WATKINSON,Helen,United Australia Party
WA,Moore,8,SUTER,Martin,Australian Federation Party
WA,O'Connor,1,KUSTRIN,Stan,Pauline Hanson's One Nation
WA,O'Connor,2,WELDON,Shaneane,Australian Labor Party
WA,O'Connor,3,WATSON,Giz,The Greens (WA)
WA,O'Connor,4,MIDDLE,Isaac,Australian Federation Party
WA,O'Connor,5,BESSANT,Morris,WESTERN AUSTRALIA PARTY
WA,O'Connor,6,MOSELEY,Justin,Australian Christians
WA,O'Connor,7,TIRRONEN,Tracy Anne,United Australia Party
WA,O'Connor,8,BARBER,Brenden,The Great Australian Party
WA,O'Connor,9,WILSON,Rick,Liberal
WA,Pearce,1,STEWART,Roslyn,The Great Australian Party
WA,Pearce,2,NELSON,Donna,The Greens (WA)
WA,Pearce,3,MARSHALL,David,Liberal Democrats
WA,Pearce,4,ROBERTS,Tracey,Australian Labor Party
WA,Pearce,5,DALBY,Trevor Richard,United Australia Party
WA,Pearce,6,PAICE,Jim,WESTERN AUSTRALIA PARTY
WA,Pearce,7,MALLOY,Aaron,Pauline Hanson's One Nation
WA,Pearce,8,AITKEN,Linda,Liberal
WA,Pearce,9,MONTGOMERY,Vanessa,Australian Christians
WA,Pearce,10,MARCH,Nigel,Australian Federation Party
WA,Perth,1,BAILEY,Cameron,Pauline Hanson's One Nation
WA,Perth,2,POWELL,Dean,Australian Christians
WA,Perth,3,CONNOR,Sean,The Great Australian Party
WA,Perth,4,VOS,Dave,WESTERN AUSTRALIA PARTY
WA,Perth,5,SZMEKURA-MOOR,Sarah,Animal Justice Party
WA,Perth,6,GORMAN,Patrick,Australian Labor Party
WA,Perth,7,NICKOLS,Evan,Liberal Democrats
WA,Perth,8,EBERHART,Sonya Michelle,United Australia Party
WA,Perth,9,PERKS,Caroline,The Greens (WA)
WA,Perth,10,DWYER,David,Liberal
WA,Perth,11,GYURU,Aiden,Australian Federation Party
WA,Swan,1,HILTON,Paul,United Australia Party
WA,Swan,2,THOMPSON,Matthew,Liberal Democrats
WA,Swan,3,GREEN,Timothy,Animal Justice Party
WA,Swan,4,MASCARENHAS,Zaneta,Australian Labor Party
WA,Swan,5,PALLIER,Carl,Australian Federation Party
WA,Swan,6,BRADLEY,Rod,WESTERN AUSTRALIA PARTY
WA,Swan,7,HALLIFAX,Peter,Pauline Hanson's One Nation
WA,Swan,8,McSWEENEY,Kristy,Liberal
WA,Swan,9,UINK,Clint,The Greens (WA)
WA,Swan,10,GOWER,Dena,Australian Christians
WA,Tangney,1,CHANG,Tshung-Hui,Pauline Hanson's One Nation
WA,Tangney,2,GILLETT,Jay Dean,WESTERN AUSTRALIA PARTY
WA,Tangney,3,STAER,Mark,Australian Christians
WA,Tangney,4,MARK,Travis Llewellyn,United Australia Party
WA,Tangney,5,LIM,Sam,Australian Labor Party
WA,Tangney,6,MORTON,Ben,Liberal
